nome,clube,posicao,preco,variacao,ult_ponto,media,jogo,roubada_bola,gol,assistencia,jogo_sem_sofrer_gol,finalizacao_fora,finalizacao_fora,finalizacao_defendida,finalizacao_trave,defesa_dificil,defesa_penalti,gol_contra,cartao_vermelho,cartao_amarelo,penalti_perdido,gol_sofrido,falta_cometida,impedimento,passe_errado
Mois�s,Palmeiras,Meia,7.6,0.15,-1.1,0.87,3,4,0,0,0,6,0,2,0,0,0,0,0,1,0,0,3,0,19
Mois�s Ribeiro,Chapecoense,Meia,3.31,0.46,2.2,0.62,8,11,0,0,0,9,1,0,0,0,0,0,0,4,0,0,14,0,13
Murilo,Cruzeiro,Zagueiro,2.75,0.01,2.8,2.72,14,12,0,0,6,5,6,0,0,0,0,0,0,1,0,0,15,1,31
Naldo,Ponte Preta,Meia,7.52,0,0,3.92,12,34,1,0,0,9,2,1,0,0,0,0,0,3,0,0,21,2,27
Neilton,Vit�ria,Atacante,6.8,-1.08,1.2,4.29,16,11,4,4,0,24,7,8,0,0,0,0,0,1,1,0,21,0,36
Nen�,Vasco,Meia,12.47,0.39,2.7,2.89,15,10,2,3,0,35,9,7,0,0,0,0,0,4,0,0,16,2,62
Nik�o,Atl�tico-PR,Meia,8.79,-0.56,0.4,3.01,20,18,2,2,0,33,8,13,1,0,0,0,0,2,0,0,20,2,67
Nino Para�ba,Ponte Preta,Lateral,21.1,1.13,11.3,5.58,18,35,1,3,6,35,4,7,0,0,0,0,0,3,0,0,19,3,75
Orejuela,Fluminense,Meia,8.6,-0.43,-0.1,1.36,17,23,0,0,0,23,0,0,0,0,0,0,1,2,0,0,20,0,28
Oswaldo Henr�quez,Sport,Zagueiro,5.58,0,0,5.51,8,21,0,0,4,3,1,0,0,0,0,0,0,2,0,0,10,0,16
Pablo,Corinthians,Zagueiro,11.63,-0.21,6.5,4.78,14,12,0,0,10,8,7,2,0,0,0,0,0,2,0,0,10,0,18
Paolo Guerrero,Flamengo,Atacante,12.15,0.67,5.4,4.71,14,12,5,2,0,36,16,12,0,0,0,0,0,3,0,0,50,10,32
Par�,Flamengo,Lateral,8.98,-0.17,4.5,2.89,16,9,1,1,6,13,5,0,0,0,0,0,0,0,0,0,18,1,42
Patric,Vit�ria,Lateral,7.48,0.3,5,2.2,19,19,0,1,6,10,10,4,0,0,0,0,0,2,0,0,26,5,73
Patrick,Sport,Meia,10.35,0,0,5.54,17,57,2,0,0,22,3,2,0,0,0,0,0,2,0,0,30,0,49
Paulo Andr�,Atl�tico-PR,Zagueiro,4.33,-0.61,1.5,1.84,13,12,0,0,4,8,0,1,0,0,0,0,0,4,0,0,10,0,28
Pavez,Atl�tico-PR,Meia,3.98,-1.39,-2.4,2.78,6,15,0,0,0,1,2,2,0,0,0,0,0,1,0,0,10,0,19
Pedro Castro,Ava�,Meia,2.06,-1.25,-1.6,1.35,17,12,0,1,0,25,9,3,0,0,0,0,0,2,0,0,15,1,41
Pedro Henrique,Corinthians,Zagueiro,9.12,-0.34,3.4,4.9,14,15,1,0,7,8,3,2,0,0,0,0,0,0,0,0,5,0,18
Pedro Rocha,Gr�mio,Atacante,10.99,0,0,4.61,15,16,3,2,0,18,5,12,1,0,0,0,0,0,0,0,13,5,37
Petros,S�o Paulo,Meia,9.7,-0.18,2.5,3.17,12,25,0,1,0,24,2,0,0,0,0,0,0,2,0,0,23,1,23
Preto Casagrande,Bahia,T�cnico,8.64,-0.48,3.32,3.74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Moura,Atl�tico-MG,Atacante,4.92,0.43,0.1,1.54,18,4,4,0,0,22,9,8,1,0,0,0,0,1,1,0,36,17,26
Rafael Sobis,Cruzeiro,Atacante,9.45,0.61,0.1,1.41,14,4,2,1,0,11,12,9,0,0,0,0,1,3,0,0,19,1,33
Rafinha,Cruzeiro,Meia,7.24,2.21,10.2,2.06,13,10,1,0,0,29,3,3,1,0,0,0,0,1,0,0,14,1,39
Ramiro,Gr�mio,Meia,15.73,0,0,3.98,15,18,4,3,0,26,9,7,0,0,0,0,0,4,0,0,32,2,64
Ramon,Vasco,Lateral,10.25,1.15,13.1,6.55,8,18,1,1,2,22,2,0,0,0,0,0,0,0,0,0,11,0,27
R�gis,Bahia,Meia,14.59,-0.86,-1.4,3.8,14,7,3,5,0,10,2,3,0,0,0,0,0,1,0,0,9,2,32
Reinaldo Rueda,Flamengo,T�cnico,12.16,0.63,5.37,6.65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renato,Santos,Meia,6.43,0.12,3.1,1.6,13,15,0,0,0,14,1,0,0,0,0,0,0,0,0,0,8,0,28
Renato Chaves,Fluminense,Zagueiro,3.73,0.7,3.6,2.97,6,6,1,0,1,2,1,2,0,0,0,0,0,1,0,0,9,1,7
Renato Ga�cho,Gr�mio,T�cnico,15.56,0,0,4.56,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ren�,Vit�ria,Zagueiro,3.27,0,0,1.97,10,8,0,0,4,7,1,1,0,0,0,0,0,3,0,0,16,0,17
