nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Bruno Paulista;Vasco;Meia;5.62;0;0;2.08;7;9;0;0;0;14;7;3;0;0;0;0;0;3;0;0;9;0;17
Bruno Silva;Botafogo;Meia;13.75;1.29;9.5;5.29;18;39;5;2;0;31;12;3;0;0;0;0;0;6;0;0;35;0;62
Buffarini;São Paulo;Lateral;7.46;0.21;4.7;2.6;6;7;0;1;1;6;2;0;0;0;0;0;0;0;0;0;10;0;19
Caíque Sá;Vitória;Lateral;3.52;0.01;5.4;3.8;8;16;0;0;4;11;2;1;0;0;0;0;0;1;0;0;23;2;34
Capa;Avaí;Lateral;13;2.15;10.1;4.56;21;46;0;1;9;57;10;2;0;0;0;1;0;4;0;0;39;4;116
Cássio;Corinthians;Goleiro;13.09;0.65;4;5.55;21;0;0;0;13;5;0;0;0;21;2;0;0;2;0;11;0;0;7
Cazares;Atlético-MG;Meia;8.38;-1.13;-0.4;3.48;17;5;2;6;0;9;19;16;0;0;0;0;0;0;1;0;16;1;58
Claudinei Oliveira;Avaí;Técnico;8.17;0.66;5.65;3.3;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cléber Reis;Coritiba;Zagueiro;6.49;0;0;4.5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Copete;Santos;Atacante;8.14;1.78;11.2;3.28;17;14;5;1;0;21;13;6;0;0;0;0;0;3;0;0;23;7;59
Cuca;Palmeiras;Técnico;14.18;0.73;6.32;3.9;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuéllar;Flamengo;Meia;4.75;-0.57;2.5;2.96;13;29;0;0;0;7;0;2;0;0;0;0;0;2;0;0;12;0;21
Cueva;São Paulo;Meia;9.81;0.07;2;2.96;16;23;1;2;0;26;9;6;1;0;0;0;0;3;1;0;13;4;69
David;Vitória;Atacante;4.49;-0.08;-0.3;2.2;21;11;2;4;0;12;16;7;2;0;0;0;0;4;0;0;22;9;54
Deyverson;Palmeiras;Atacante;9.48;2.28;13.4;4.72;7;5;2;2;0;22;3;4;0;0;0;0;0;1;0;0;19;1;22
Diego;Flamengo;Meia;20.17;1.64;8.1;5.24;17;24;5;2;0;56;12;7;0;0;0;0;0;3;1;0;21;7;72
Diego Alves;Flamengo;Goleiro;8.82;-0.13;4.6;1.28;6;0;0;0;2;1;0;0;0;5;0;0;0;0;0;8;0;0;6
Diego Renan;Chapecoense;Lateral;4.82;0;0;1.98;6;2;0;1;1;6;3;3;0;0;0;0;0;1;0;0;5;0;17
Diego Souza;Sport;Meia;15.37;0;0;4.56;14;6;6;1;0;37;10;3;3;0;0;0;0;4;0;0;23;1;61
Digão;Cruzeiro;Zagueiro;5.25;0.61;3.6;1.65;2;2;0;1;0;2;1;0;0;0;0;0;1;0;0;0;3;0;1
Diogo Barbosa;Cruzeiro;Lateral;12;-0.52;0.3;4.22;19;31;0;2;8;23;3;2;1;0;0;0;0;4;0;0;20;2;75
Dorival Júnior;São Paulo;Técnico;9.51;0.28;3.56;2.72;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Douglas Friedrich;Avaí;Goleiro;10.69;0.6;11;9.7;13;0;0;0;8;3;0;0;0;36;1;0;0;2;0;13;1;0;0
